,last_name,gender,age,email,birth_date,university,inscription_date,career,first_name,location,postal_code
0,jeffrey nash,male,100,bmorgan@hotmail.com,1938/09/07,universidad tecnológica nacional,2020-09-28,licenciatura en ciencias geológicas,,general rodriguez,1748
1,melissa reynolds,female,34,jonathon04@hotmail.com,2004/04/15,universidad tecnológica nacional,2020-11-25,licenciatura en ciencias antropológicas,,cabure,3371
2,megan lopez,female,71,reeddonald@yahoo.com,1967/03/11,universidad nacional de jujuy,2020-11-27,licenciatura en musicoterapia,,arroyo de la ventana,8521
3,leonard weber,male,102,dmercado@yahoo.com,1936/02/05,universidad tecnológica nacional,2021-01-17,licenciatura en sociología,,mariano acosta,1723
4,corey alvarado,male,27,shawnhunt@gmail.com,2011/03/17,universidad nacional de jujuy,2020-11-01,diseño industrial,,aldecon,7406
5,jessica jordan,female,93,daymatthew@gmail.com,1945/09/07,universidad nacional de jujuy,2020-10-24,licenciatura en ciencias ambientales,,campo yaguarete,3586
6,danny brown,male,65,lisa01@hotmail.com,1972/12/22,universidad tecnológica nacional,2020-10-09,arquitectura,,remedios de escalada,1826
7,william williams,male,98,smithemma@gmail.com,1940/08/12,universidad tecnológica nacional,2020-11-05,licenciatura en sociología,,agua salada,4740
8,sierra dean,female,61,lhobbs@gmail.com,1977/01/09,universidad tecnológica nacional,2020-10-08,licenciatura en sociología,,colonia zapata,5436
9,heather williams,female,105,travissutton@yahoo.com,1933/02/14,universidad nacional de jujuy,2020-11-23,contador público,,bajo la cancha,9031
10,jose jones,male,34,jennifer87@hotmail.com,2004/03/29,universidad nacional de jujuy,2020-09-22,diseño de imagen y sonido,,amuschina,5329
11,terry shelton,male,112,kellerkristopher@yahoo.com,1926/01/22,universidad nacional de jujuy,2020-11-14,diseño de imagen y sonido,,colonia jauregui,5622
12,brent murray,male,100,elizabeth47@hotmail.com,1937/09/20,universidad nacional de jujuy,2020-09-12,licenciatura en ciencias antropológicas,,barrio garin norte,1623
13,jeffrey martin,male,55,steven54@hotmail.com,1983/05/29,universidad tecnológica nacional,2020-09-30,ingeniería electrónica,,barrio la union,4648
14,michael watkins,male,82,michelle01@hotmail.com,1956/10/15,universidad tecnológica nacional,2020-11-05,bioquímica,,bajo la cancha,9031
15,douglas hogan,male,30,lynchalexis@gmail.com,2008/07/29,universidad tecnológica nacional,2020-12-04,licenciatura en ciencia política,,puesto de isla,3487
16,nicole giles,female,34,susanmatthews@hotmail.com,2004/06/29,universidad tecnológica nacional,2020-11-09,licenciatura en planificación y diseño del paisaje,,otto bemberg,2605
17,rebecca hart,female,37,tammy58@hotmail.com,2001/06/21,universidad nacional de jujuy,2020-11-10,licenciatura en producción de bioimagenes,,las hermanas,7412
18,nicole carr,female,128,robertburns@gmail.com,1909/10/08,universidad tecnológica nacional,2020-10-03,técnico para bioterios,,el tala,5304
19,sandra lucas,female,107,joshua77@yahoo.com,1931/07/07,universidad tecnológica nacional,2021-01-11,ingeniería en informática,,puesto de isla,3487
20,nichole lee,female,39,jameswong@hotmail.com,1999/06/14,universidad tecnológica nacional,2020-09-24,licenciatura en ciencia y tecnología de alimentos,,alto rio pico,9223
21,hunter murillo,male,119,pauljamie@yahoo.com,1918/09/23,universidad tecnológica nacional,2020-09-11,farmacia,,abra de hinojo,8170
22,jennifer allen,female,129,deleontara@hotmail.com,1909/10/20,universidad tecnológica nacional,2021-01-12,bioquímica,,arroyo aleli,2805
23,joshua henderson,male,126,tryan@hotmail.com,1911/12/18,universidad nacional de jujuy,2020-09-29,licenciatura en producción de bioimagenes,,anecon grande,8416
24,debra dixon,female,87,weaverroberto@yahoo.com,1950/12/22,universidad tecnológica nacional,2020-10-13,licenciatura en ciencias de la computación,,el jaguel,1842
25,jack shannon,male,117,harrisalbert@yahoo.com,1921/10/16,universidad nacional de jujuy,2020-12-07,licenciatura en producción de bioimagenes,,campo moreno,3734
26,vanessa martin,female,89,matthew92@gmail.com,1949/04/06,universidad nacional de jujuy,2020-12-09,diseño industrial,,ingeniero allan,1891
27,tyler horne,male,95,aaronlarsen@hotmail.com,1943/07/15,universidad nacional de jujuy,2021-01-30,licenciatura en ciencias antropológicas,,cañada,4129
28,daniel pacheco,male,27,tiffanyfisher@gmail.com,2011/08/03,universidad tecnológica nacional,2020-11-24,bioquímica,,deferrari,7521
29,lucas villarreal,male,106,joshua15@hotmail.com,1931/11/22,universidad tecnológica nacional,2020-10-03,licenciatura en ciencias antropológicas,,barrio la luisa,7400
30,linda bryant,female,55,fwallace@hotmail.com,1983/12/20,universidad tecnológica nacional,2021-01-29,licenciatura en ciencias de la computación,,agua colorada,4119
