,university,career,inscription_date,last_name,first_name,gender,age,location,email,postal_code
0,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-09-28,jeffrey nash,nan,male,82.0,general_rodriguez,bmorgan@hotmail.com,1748
1,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-11-25,melissa reynolds,nan,female,16.0,cabure,jonathon04@hotmail.com,3371
2,universidad tecnológica nacional,licenciatura en sociología,2021-01-17,leonard weber,nan,male,84.0,mariano_acosta,dmercado@yahoo.com,1723
3,universidad tecnológica nacional,arquitectura,2020-10-09,danny brown,nan,male,47.0,remedios_de_escalada,lisa01@hotmail.com,1826
4,universidad tecnológica nacional,licenciatura en sociología,2020-11-05,william williams,nan,male,80.0,agua_salada,smithemma@gmail.com,4740
5,universidad tecnológica nacional,licenciatura en sociología,2020-11-05,william williams,nan,male,80.0,agua_salada,smithemma@gmail.com,5751
6,universidad tecnológica nacional,licenciatura en sociología,2020-10-08,sierra dean,nan,female,43.0,colonia_zapata,lhobbs@gmail.com,5436
7,universidad tecnológica nacional,ingeniería electrónica,2020-09-30,jeffrey martin,nan,male,37.0,barrio_la_union,steven54@hotmail.com,4648
8,universidad tecnológica nacional,bioquímica,2020-11-05,michael watkins,nan,male,64.0,bajo_la_cancha,michelle01@hotmail.com,9031
9,universidad tecnológica nacional,licenciatura en ciencia política,2020-12-04,douglas hogan,nan,male,112.0,puesto_de_isla,lynchalexis@gmail.com,3487
10,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-11-09,nicole giles,nan,female,16.0,otto_bemberg,susanmatthews@hotmail.com,2605
11,universidad tecnológica nacional,técnico para bioterios,2020-10-03,nicole carr,nan,female,110.0,el_tala,robertburns@gmail.com,5304
12,universidad tecnológica nacional,ingeniería en informática,2021-01-11,sandra lucas,nan,female,89.0,puesto_de_isla,joshua77@yahoo.com,3487
13,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-09-24,nichole lee,nan,female,21.0,alto_rio_pico,jameswong@hotmail.com,9223
14,universidad tecnológica nacional,farmacia,2020-09-11,hunter murillo,nan,male,101.0,abra_de_hinojo,pauljamie@yahoo.com,8170
15,universidad tecnológica nacional,bioquímica,2021-01-12,jennifer allen,nan,female,111.0,arroyo_aleli,deleontara@hotmail.com,2805
16,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-10-13,debra dixon,nan,female,69.0,el_jaguel,weaverroberto@yahoo.com,1842
17,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-10-13,debra dixon,nan,female,69.0,el_jaguel,weaverroberto@yahoo.com,9007
18,universidad tecnológica nacional,bioquímica,2020-11-24,daniel pacheco,nan,male,109.0,deferrari,tiffanyfisher@gmail.com,7521
19,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-10-03,lucas villarreal,nan,male,88.0,barrio_la_luisa,joshua15@hotmail.com,7400
20,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-29,linda bryant,nan,female,37.0,agua_colorada,fwallace@hotmail.com,4119
21,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-29,linda bryant,nan,female,37.0,agua_colorada,fwallace@hotmail.com,4724
22,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-29,linda bryant,nan,female,37.0,agua_colorada,fwallace@hotmail.com,4750
23,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-29,linda bryant,nan,female,37.0,agua_colorada,fwallace@hotmail.com,5275
24,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-29,linda bryant,nan,female,37.0,agua_colorada,fwallace@hotmail.com,5383
25,universidad tecnológica nacional,arquitectura,2020-11-13,jennifer ellis,nan,female,24.0,gomez,bankschristopher@yahoo.com,1983
26,universidad tecnológica nacional,licenciatura en administración,2020-09-15,jacob gibson,nan,male,80.0,chillar,beverlytucker@hotmail.com,7311
27,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-10-04,krystal sanders,nan,female,98.0,el_camoati,guerratracy@hotmail.com,6537
28,universidad tecnológica nacional,licenciatura en sociología,2021-01-06,david harris,nan,male,59.0,desvio_boero,charlotte54@hotmail.com,2415
29,universidad tecnológica nacional,ciencias veterinarias,2020-09-26,matthew dunn,nan,male,31.0,17_de_agosto,rebecca25@gmail.com,3338
30,universidad tecnológica nacional,ciencias veterinarias,2020-09-26,matthew dunn,nan,male,31.0,17_de_agosto,rebecca25@gmail.com,8129
31,universidad tecnológica nacional,licenciatura en ciencia política,2020-09-09,thomas hernandez,nan,male,111.0,2_de_mayo,dcooper@gmail.com,3364
32,universidad tecnológica nacional,licenciatura en ciencia política,2020-09-09,thomas hernandez,nan,male,111.0,2_de_mayo,dcooper@gmail.com,3722
33,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-12-03,deborah mclaughlin,nan,female,40.0,las_quintas,wilsonerin@yahoo.com,2200
34,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-12-29,alexandria smith,nan,female,111.0,la_colina,jamessilva@yahoo.com,6269
35,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-12-29,alexandria smith,nan,female,111.0,la_colina,jamessilva@yahoo.com,7408
36,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-12-29,cassandra mora md,nan,female,102.0,empalme,qmclaughlin@hotmail.com,1633
37,universidad tecnológica nacional,contador público,2020-09-21,stacey case,nan,female,61.0,alto_nuestra_señora_del_valle,greenhoward@hotmail.com,4109
38,universidad tecnológica nacional,diseño industrial,2020-09-24,jason roberts,nan,male,89.0,arroyo_pareja,david84@hotmail.com,8111
39,universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-09-23,marie schwartz,nan,female,54.0,apeadero_quiroga,mosleydavid@hotmail.com,5427
40,universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-12-24,julie curtis,nan,female,75.0,alianza,ellisanthony@gmail.com,8373
41,universidad tecnológica nacional,arquitectura,2020-12-24,chelsea whitaker,nan,female,115.0,cañadon_chileno,nicolegolden@hotmail.com,8417
42,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-12-08,julie herrera,nan,female,16.0,empalme_san_carlos,martincharles@hotmail.com,3007
