university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/09/28,,jeffrey nash,m,0,,general rodriguez,bmorgan@hotmail.com
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/11/25,,melissa reynolds,f,0,,cabure,jonathon04@hotmail.com
universidad tecnológica nacional,licenciatura en sociología ,2021/01/17,,leonard weber,m,0,,mariano acosta,dmercado@yahoo.com
universidad tecnológica nacional,arquitectura,2020/10/09,,danny brown,m,0,,remedios de escalada,lisa01@hotmail.com
universidad tecnológica nacional,licenciatura en sociología ,2020/11/05,,william williams,m,0,,agua salada,smithemma@gmail.com
universidad tecnológica nacional,licenciatura en sociología ,2020/10/08,,sierra dean,f,0,,colonia zapata,lhobbs@gmail.com
universidad tecnológica nacional,ingeniería electrónica,2020/09/30,,jeffrey martin,m,0,,barrio la union,steven54@hotmail.com
universidad tecnológica nacional,bioquímica,2020/11/05,,michael watkins,m,0,,bajo la cancha,michelle01@hotmail.com
universidad tecnológica nacional,licenciatura en ciencia política ,2020/12/04,,douglas hogan,m,0,,puesto de isla,lynchalexis@gmail.com
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/11/09,,nicole giles,f,0,,otto bemberg,susanmatthews@hotmail.com
universidad tecnológica nacional,técnico para bioterios ,2020/10/03,,nicole carr,f,0,,el tala,robertburns@gmail.com
universidad tecnológica nacional,ingeniería en informática,2021/01/11,,sandra lucas,f,0,,puesto de isla,joshua77@yahoo.com
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/09/24,,nichole lee,f,0,,alto rio pico,jameswong@hotmail.com
universidad tecnológica nacional,farmacia,2020/09/11,,hunter murillo,m,0,,abra de hinojo,pauljamie@yahoo.com
universidad tecnológica nacional,bioquímica,2021/01/12,,jennifer allen,f,0,,arroyo aleli,deleontara@hotmail.com
universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/10/13,,debra dixon,f,0,,el jaguel,weaverroberto@yahoo.com
universidad tecnológica nacional,bioquímica,2020/11/24,,daniel pacheco,m,0,,deferrari,tiffanyfisher@gmail.com
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/10/03,,lucas villarreal,m,0,,barrio la luisa,joshua15@hotmail.com
universidad tecnológica nacional,licenciatura en ciencias de la computación,2021/01/29,,linda bryant,f,0,,agua colorada,fwallace@hotmail.com
universidad tecnológica nacional,arquitectura,2020/11/13,,jennifer ellis,f,0,,gomez,bankschristopher@yahoo.com
universidad tecnológica nacional,licenciatura en administración ,2020/09/15,,jacob gibson,m,0,,chillar,beverlytucker@hotmail.com
