;fechaiscripccion;university;carrerra;first_name;last_name;gender;age;postal_code;location;eemail
0;22/01/2021;Universidad nacional de la pampa;Licenciatura en musicoterapia;;Brett roberts;M;;3232;;Deannalarson@hotmail.com
1;14/01/2021;Universidad nacional de la pampa;Licenciatura en gestión de agroalimentos;;Mckenzie mclaughlin;F;;1629;;Turnerjames@hotmail.com
2;26/01/2021;Universidad nacional de la pampa;Ciencias veterinarias;;Bryan kane;M;;3252;;Annaglass@yahoo.com
3;29/12/2020;Universidad nacional de la pampa;Farmacia;;Chad richardson;M;;3185;;Jacksonmichelle@hotmail.com
4;03/09/2020;Universidad nacional de la pampa;Licenciatura en sociología ;;Cassandra odonnell;F;;7245;;Jamesthompson@gmail.com
5;20/11/2020;Universidad nacional de la pampa;Ingeniería en informática;;Jeffrey rivera;M;;8206;;Kristaaustin@hotmail.com
6;23/10/2020;Universidad nacional de la pampa;Ingeniería en informática;;Ann schmidt;F;;2255;;Michael73@gmail.com
7;28/09/2020;Universidad nacional de la pampa;Actuario ;;Gabrielle johnson;F;;3071;;Ipage@hotmail.com
8;22/10/2020;Universidad nacional de la pampa;Diseño de imagen y sonido;;Samuel tate;M;;2253;;Gwoodard@gmail.com
9;08/12/2020;Universidad nacional de la pampa;Contador público ;;Jamie henderson;F;;3220;;Coxtanner@yahoo.com
10;13/09/2020;Universidad nacional de la pampa;Licenciatura en ciencias de la educación ;;Mrs. lisa blair phd;F;;3085;;Rjoyce@gmail.com
11;18/11/2020;Universidad nacional de la pampa;Licenciatura en sociología ;;Steven hill;M;;2405;;Littleronald@gmail.com
12;19/10/2020;Universidad nacional de la pampa;Licenciatura en musicoterapia;;Michelle beasley;F;;3072;;Leoncindy@gmail.com
13;12/11/2020;Universidad nacional de la pampa;Arquitectura;;Shaun dunn;M;;5759;;Ydavis@hotmail.com
14;24/01/2021;Universidad nacional de la pampa;Licenciatura en ciencia política ;;Jamie martin;F;;6333;;Anthony25@gmail.com
15;09/12/2020;Universidad nacional de la pampa;Licenciatura en ciencias geológicas;;Logan clements;M;;9410;;Beardpatrick@yahoo.com
16;17/01/2021;Universidad nacional de la pampa;Ingeniería mecánica;;Carol myers;F;;2747;;Brownjason@yahoo.com
17;27/10/2020;Universidad nacional de la pampa;Ingeniería electrónica;;Shannon wilson;F;;6303;;Darlene98@gmail.com
18;10/10/2020;Universidad nacional de la pampa;Licenciatura en kinesiología y fisiatría;;Chris bennett;M;;3122;;Hlewis@yahoo.com
19;28/11/2020;Universidad nacional de la pampa;Licenciatura en producción de bioimagenes;;Ethan lewis;M;;3374;;Eric54@gmail.com
20;25/01/2021;Universidad nacional de la pampa;Diseño industrial;;Mr. william snow;M;;5501;;Ajones@hotmail.com
21;10/12/2020;Universidad nacional de la pampa;Licenciatura en ciencias ambientales;;Anna steele dvm;F;;6309;;Micheal44@yahoo.com
22;24/09/2020;Universidad nacional de la pampa;Licenciatura en sociología ;;Ian flores;M;;1822;;Eric92@hotmail.com
23;20/10/2020;Universidad nacional de la pampa;Licenciatura en ciencias biológicas;;Stephanie miller;F;;1688;;Znunez@yahoo.com
24;15/12/2020;Universidad nacional de la pampa;Agronomía;;Lisa booth;F;;3540;;Youngsteven@hotmail.com
25;27/12/2020;Universidad nacional de la pampa;Licenciatura en ciencias antropológicas;;Robert wilson;M;;1601;;Mhoward@gmail.com
26;06/10/2020;Universidad nacional de la pampa;Ingeniería mecánica;;Alejandra mcbride;F;;7105;;Lloydkara@gmail.com
27;31/10/2020;Universidad nacional de la pampa;Actuario ;;Carl ferguson;M;;3101;;Taylorsmith@hotmail.com
