university,career,inscription_date,last_name,first_name,gender,age,postal_code,location,email,birth_date
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/09/28,jeffrey nash,,m,0,,general rodriguez,bmorgan@hotmail.com,1938/09/07
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/11/25,melissa reynolds,,f,0,,cabure,jonathon04@hotmail.com,2004/04/15
universidad tecnológica nacional,licenciatura en sociología ,2021/01/17,leonard weber,,m,0,,mariano acosta,dmercado@yahoo.com,1936/02/05
universidad tecnológica nacional,arquitectura,2020/10/09,danny brown,,m,0,,remedios de escalada,lisa01@hotmail.com,1972/12/22
universidad tecnológica nacional,licenciatura en sociología ,2020/11/05,william williams,,m,0,,agua salada,smithemma@gmail.com,1940/08/12
universidad tecnológica nacional,licenciatura en sociología ,2020/10/08,sierra dean,,f,0,,colonia zapata,lhobbs@gmail.com,1977/01/09
universidad tecnológica nacional,ingeniería electrónica,2020/09/30,jeffrey martin,,m,0,,barrio la union,steven54@hotmail.com,1983/05/29
universidad tecnológica nacional,bioquímica,2020/11/05,michael watkins,,m,0,,bajo la cancha,michelle01@hotmail.com,1956/10/15
universidad tecnológica nacional,licenciatura en ciencia política ,2020/12/04,douglas hogan,,m,0,,puesto de isla,lynchalexis@gmail.com,2008/07/29
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/11/09,nicole giles,,f,0,,otto bemberg,susanmatthews@hotmail.com,2004/06/29
universidad tecnológica nacional,técnico para bioterios ,2020/10/03,nicole carr,,f,0,,el tala,robertburns@gmail.com,1909/10/08
universidad tecnológica nacional,ingeniería en informática,2021/01/11,sandra lucas,,f,0,,puesto de isla,joshua77@yahoo.com,1931/07/07
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/09/24,nichole lee,,f,0,,alto rio pico,jameswong@hotmail.com,1999/06/14
universidad tecnológica nacional,farmacia,2020/09/11,hunter murillo,,m,0,,abra de hinojo,pauljamie@yahoo.com,1918/09/23
universidad tecnológica nacional,bioquímica,2021/01/12,jennifer allen,,f,0,,arroyo aleli,deleontara@hotmail.com,1909/10/20
universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/10/13,debra dixon,,f,0,,el jaguel,weaverroberto@yahoo.com,1950/12/22
universidad tecnológica nacional,bioquímica,2020/11/24,daniel pacheco,,m,0,,deferrari,tiffanyfisher@gmail.com,2011/08/03
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/10/03,lucas villarreal,,m,0,,barrio la luisa,joshua15@hotmail.com,1931/11/22
universidad tecnológica nacional,licenciatura en ciencias de la computación,2021/01/29,linda bryant,,f,0,,agua colorada,fwallace@hotmail.com,1983/12/20
universidad tecnológica nacional,arquitectura,2020/11/13,jennifer ellis,,f,0,,gomez,bankschristopher@yahoo.com,1996/06/17
universidad tecnológica nacional,licenciatura en administración ,2020/09/15,jacob gibson,,m,0,,chillar,beverlytucker@hotmail.com,1939/12/15
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/10/04,krystal sanders,,f,0,,el camoati,guerratracy@hotmail.com,1922/03/13
universidad tecnológica nacional,licenciatura en sociología ,2021/01/06,david harris,,m,0,,desvio boero,charlotte54@hotmail.com,1961/02/25
universidad tecnológica nacional,ciencias veterinarias,2020/09/26,matthew dunn,,m,0,,17 de agosto,rebecca25@gmail.com,1989/06/13
universidad tecnológica nacional,licenciatura en ciencia política ,2020/09/09,thomas hernandez,,m,0,,2 de mayo,dcooper@gmail.com,2009/01/09
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020/12/03,deborah mclaughlin,,f,0,,las quintas,wilsonerin@yahoo.com,1980/05/22
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/12/29,alexandria smith,,f,0,,la colina,jamessilva@yahoo.com,2009/08/16
