,university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email,fecha_nacimiento
0,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,2020-11-20, ,MICHELLE HARRIS,F,-1,7261, ,MARTINEZJOHN@HOTMAIL.COM,1917-10-13
1,UNIV. NACIONAL DEL COMAHUE,CONTADOR PÚBLICO ,2020-10-31, ,AMANDA HILL,F,-1,8129, ,TYLER57@HOTMAIL.COM,1990-04-08
2,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-09-04, ,JASON MONTES,M,-1,3194, ,WBRYANT@HOTMAIL.COM,1925-08-09
3,UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,2021-01-31, ,RYAN DAVIS,M,-1,3328, ,PATRICIAZAMORA@GMAIL.COM,1934-12-23
4,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,2020-12-03, ,SANDRA BURTON,F,-1,4500, ,KLEINLAUREN@GMAIL.COM,1970-02-12
5,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS GEOLÓGICAS,2020-11-24, ,REBEKAH GONZALES,F,-1,7609, ,MTERRY@YAHOO.COM,1979-01-13
6,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,2020-10-23, ,LAURA GIBSON,F,-1,3087, ,CARMENMCKINNEY@YAHOO.COM,1938-12-03
7,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS BIOLÓGICAS,2021-01-09, ,MICHAEL MCDONALD,M,-1,3000, ,BENJAMIN45@YAHOO.COM,1957-09-19
8,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,2021-01-01, ,STEPHEN MATHIS,M,-1,5557, ,CHRISTINE82@YAHOO.COM,1947-04-18
9,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,2020-10-18, ,TIMOTHY GIBSON,M,-1,6050, ,CHRISTOPHEREVANS@GMAIL.COM,2013-07-20
10,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN TERAPIA OCUPACIONAL,2021-02-09, ,PATRICIA NELSON,F,-1,1896, ,TIMOTHYPARKER@GMAIL.COM,1910-10-11
11,UNIV. NACIONAL DEL COMAHUE,ARQUITECTURA,2020-10-11, ,CODY HUNT MD,M,-1,3214, ,KEITH37@HOTMAIL.COM,1967-01-15
12,UNIV. NACIONAL DEL COMAHUE,MEDICINA,2020-12-25, ,BRADLEY MILES,M,-1,6331, ,FLORESROBERT@YAHOO.COM,1927-01-05
13,UNIV. NACIONAL DEL COMAHUE,INGENIERÍA EN INFORMÁTICA,2020-11-19, ,MELISSA ROBERTSON,F,-1,7630, ,JOSEPHKING@GMAIL.COM,1992-11-24
14,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES,2020-09-18, ,JANE CAMPBELL,F,-1,7311, ,GILLESPIEBRIAN@YAHOO.COM,2002-08-16
15,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA POLÍTICA ,2020-10-14, ,BARBARA SPEARS,F,-1,6433, ,CINDY96@HOTMAIL.COM,1971-02-25
16,UNIV. NACIONAL DEL COMAHUE,DISEÑO INDUSTRIAL,2020-11-05, ,JOSHUA STOKES,M,-1,5701, ,JENNIFER73@GMAIL.COM,1947-07-15
17,UNIV. NACIONAL DEL COMAHUE,AGRONOMÍA,2020-12-23, ,GARY CHRISTENSEN,M,-1,5505, ,JAMES83@HOTMAIL.COM,1993-07-22
18,UNIV. NACIONAL DEL COMAHUE,CONTADOR PÚBLICO ,2020-10-13, ,LISA COLLIER,F,-1,6634, ,CASESTACEY@YAHOO.COM,1926-05-28
19,UNIV. NACIONAL DEL COMAHUE,DISEÑO DE IMAGEN Y SONIDO,2020-12-09, ,JOEL OWEN,M,-1,6409, ,KEVINSALAS@YAHOO.COM,1925-05-15
20,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,2020-09-06, ,JAMES PETTY,M,-1,5521, ,ETHANJIMENEZ@HOTMAIL.COM,1969-03-13
21,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN CIENCIA POLÍTICA ,2020-10-03, ,MISS RACHEL RICH,F,-1,7221, ,SHEILA33@YAHOO.COM,1917-03-28
22,UNIV. NACIONAL DEL COMAHUE,TÉCNICO PARA BIOTERIOS ,2020-10-07, ,VICTORIA FORD,F,-1,6058, ,DANAGOODWIN@HOTMAIL.COM,1931-11-17
23,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN MUSICOTERAPIA,2021-01-07, ,RICHARD MORGAN,M,-1,8124, ,ODONNELLGRANT@HOTMAIL.COM,1909-05-22
24,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN MUSICOTERAPIA,2020-10-05, ,TYLER ROSS,M,-1,3261, ,TANNERYOLANDA@HOTMAIL.COM,1983-10-28
25,UNIV. NACIONAL DEL COMAHUE,LICENCIATURA EN ARTES,2021-01-08, ,JERRY JONES,M,-1,1812, ,IRICHARDSON@YAHOO.COM,1921-04-22
