,last_name,gender,age,email,birth_date,university,inscription_date,career,first_name,location,postal_code
0,jeffrey nash,m,,bmorgan@hotmail.com,1938/09/07,universidad tecnológica nacional,2020/09/28,licenciatura en ciencias geológicas,,general rodriguez,-1
1,melissa reynolds,f,,jonathon04@hotmail.com,2004/04/15,universidad tecnológica nacional,2020/11/25,licenciatura en ciencias antropológicas,,cabure,-1
2,megan lopez,f,,reeddonald@yahoo.com,1967/03/11,universidad nacional de jujuy,2020/11/27,licenciatura en musicoterapia,,arroyo de la ventana,-1
3,leonard weber,m,,dmercado@yahoo.com,1936/02/05,universidad tecnológica nacional,2021/01/17,licenciatura en sociología ,,mariano acosta,-1
4,corey alvarado,m,,shawnhunt@gmail.com,2011/03/17,universidad nacional de jujuy,2020/11/01,diseño industrial,,aldecon,-1
5,jessica jordan,f,,daymatthew@gmail.com,1945/09/07,universidad nacional de jujuy,2020/10/24,licenciatura en ciencias ambientales,,campo yaguarete,-1
6,danny brown,m,,lisa01@hotmail.com,1972/12/22,universidad tecnológica nacional,2020/10/09,arquitectura,,remedios de escalada,-1
7,william williams,m,,smithemma@gmail.com,1940/08/12,universidad tecnológica nacional,2020/11/05,licenciatura en sociología ,,agua salada,-1
8,sierra dean,f,,lhobbs@gmail.com,1977/01/09,universidad tecnológica nacional,2020/10/08,licenciatura en sociología ,,colonia zapata,-1
9,heather williams,f,,travissutton@yahoo.com,1933/02/14,universidad nacional de jujuy,2020/11/23,contador público ,,bajo la cancha,-1
10,jose jones,m,,jennifer87@hotmail.com,2004/03/29,universidad nacional de jujuy,2020/09/22,diseño de imagen y sonido,,amuschina,-1
11,terry shelton,m,,kellerkristopher@yahoo.com,1926/01/22,universidad nacional de jujuy,2020/11/14,diseño de imagen y sonido,,colonia jauregui,-1
12,brent murray,m,,elizabeth47@hotmail.com,1937/09/20,universidad nacional de jujuy,2020/09/12,licenciatura en ciencias antropológicas,,barrio garin norte,-1
13,jeffrey martin,m,,steven54@hotmail.com,1983/05/29,universidad tecnológica nacional,2020/09/30,ingeniería electrónica,,barrio la union,-1
14,michael watkins,m,,michelle01@hotmail.com,1956/10/15,universidad tecnológica nacional,2020/11/05,bioquímica,,bajo la cancha,-1
15,douglas hogan,m,,lynchalexis@gmail.com,2008/07/29,universidad tecnológica nacional,2020/12/04,licenciatura en ciencia política ,,puesto de isla,-1
16,nicole giles,f,,susanmatthews@hotmail.com,2004/06/29,universidad tecnológica nacional,2020/11/09,licenciatura en planificación y diseño del paisaje,,otto bemberg,-1
17,rebecca hart,f,,tammy58@hotmail.com,2001/06/21,universidad nacional de jujuy,2020/11/10,licenciatura en producción de bioimagenes,,las hermanas,-1
18,nicole carr,f,,robertburns@gmail.com,1909/10/08,universidad tecnológica nacional,2020/10/03,técnico para bioterios ,,el tala,-1
19,sandra lucas,f,,joshua77@yahoo.com,1931/07/07,universidad tecnológica nacional,2021/01/11,ingeniería en informática,,puesto de isla,-1
20,nichole lee,f,,jameswong@hotmail.com,1999/06/14,universidad tecnológica nacional,2020/09/24,licenciatura en ciencia y tecnología de alimentos,,alto rio pico,-1
21,hunter murillo,m,,pauljamie@yahoo.com,1918/09/23,universidad tecnológica nacional,2020/09/11,farmacia,,abra de hinojo,-1
22,jennifer allen,f,,deleontara@hotmail.com,1909/10/20,universidad tecnológica nacional,2021/01/12,bioquímica,,arroyo aleli,-1
23,joshua henderson,m,,tryan@hotmail.com,1911/12/18,universidad nacional de jujuy,2020/09/29,licenciatura en producción de bioimagenes,,anecon grande,-1
24,debra dixon,f,,weaverroberto@yahoo.com,1950/12/22,universidad tecnológica nacional,2020/10/13,licenciatura en ciencias de la computación,,el jaguel,-1
25,jack shannon,m,,harrisalbert@yahoo.com,1921/10/16,universidad nacional de jujuy,2020/12/07,licenciatura en producción de bioimagenes,,campo moreno,-1
26,vanessa martin,f,,matthew92@gmail.com,1949/04/06,universidad nacional de jujuy,2020/12/09,diseño industrial,,ingeniero allan,-1
27,tyler horne,m,,aaronlarsen@hotmail.com,1943/07/15,universidad nacional de jujuy,2021/01/30,licenciatura en ciencias antropológicas,,cañada,-1
28,daniel pacheco,m,,tiffanyfisher@gmail.com,2011/08/03,universidad tecnológica nacional,2020/11/24,bioquímica,,deferrari,-1
29,lucas villarreal,m,,joshua15@hotmail.com,1931/11/22,universidad tecnológica nacional,2020/10/03,licenciatura en ciencias antropológicas,,barrio la luisa,-1
30,linda bryant,f,,fwallace@hotmail.com,1983/12/20,universidad tecnológica nacional,2021/01/29,licenciatura en ciencias de la computación,,agua colorada,-1
31,jennifer ellis,f,,bankschristopher@yahoo.com,1996/06/17,universidad tecnológica nacional,2020/11/13,arquitectura,,gomez,-1
32,robert brown,m,,cantuthomas@gmail.com,1959/02/08,universidad nacional de jujuy,2021/01/07,ingeniería en informática,,villa angelica,-1
33,frank obrien,m,,scurry@yahoo.com,1924/11/29,universidad nacional de jujuy,2021/01/11,agronomía,,barrio parque leloir,-1
34,jacob gibson,m,,beverlytucker@hotmail.com,1939/12/15,universidad tecnológica nacional,2020/09/15,licenciatura en administración ,,chillar,-1
35,krystal sanders,f,,guerratracy@hotmail.com,1922/03/13,universidad tecnológica nacional,2020/10/04,licenciatura en planificación y diseño del paisaje,,el camoati,-1
36,dr. stacie wilson,f,,bryantsydney@yahoo.com,1974/07/24,universidad nacional de jujuy,2020/12/18,licenciatura en relaciones del trabajo ,,la porteña,-1
37,david harris,m,,charlotte54@hotmail.com,1961/02/25,universidad tecnológica nacional,2021/01/06,licenciatura en sociología ,,desvio boero,-1
38,kyle rose,m,,agilbert@gmail.com,1920/11/28,universidad nacional de jujuy,2020/09/19,ingeniería electrónica,,acostilla,-1
39,jasmine medina,f,,zachary43@hotmail.com,1926/12/21,universidad nacional de jujuy,2020/12/18,licenciatura en ciencias de la educación ,,abramo,-1
40,matthew dunn,m,,rebecca25@gmail.com,1989/06/13,universidad tecnológica nacional,2020/09/26,ciencias veterinarias,,17 de agosto,-1
41,rebecca padilla,f,,rhampton@yahoo.com,2002/11/17,universidad nacional de jujuy,2020/12/05,diseño industrial,,25 de mayo,-1
42,melissa swanson,f,,jenniferstrickland@gmail.com,2000/04/13,universidad nacional de jujuy,2020/10/07,ingeniería electrónica,,azteazu,-1
43,juan hicks,m,,gibsoncheryl@yahoo.com,1955/12/31,universidad nacional de jujuy,2021/01/24,licenciatura en musicoterapia,,cabi monda,-1
44,kristina bush,f,,benjamindean@hotmail.com,1974/11/08,universidad nacional de jujuy,2020/09/24,licenciatura en relaciones del trabajo ,,cerro de la gloria canal 15,-1
45,thomas hernandez,m,,dcooper@gmail.com,2009/01/09,universidad tecnológica nacional,2020/09/09,licenciatura en ciencia política ,,2 de mayo,-1
46,deborah mclaughlin,f,,wilsonerin@yahoo.com,1980/05/22,universidad tecnológica nacional,2020/12/03,licenciatura en terapia ocupacional,,las quintas,-1
47,alexandria smith,f,,jamessilva@yahoo.com,2009/08/16,universidad tecnológica nacional,2020/12/29,licenciatura en planificación y diseño del paisaje,,la colina,-1
48,christina wells,f,,qwells@yahoo.com,1909/10/05,universidad nacional de jujuy,2020/10/21,farmacia,,colonia lia y allende,-1
49,cassandra mora md,f,,qmclaughlin@hotmail.com,2018/09/04,universidad tecnológica nacional,2020/12/29,licenciatura en ciencias biológicas,,empalme,-1
50,michael chapman,m,,natalie99@hotmail.com,1987/08/27,universidad nacional de jujuy,2020/12/23,actuario ,,emilio lamarca,-1
51,stacey case,f,,greenhoward@hotmail.com,1959/02/02,universidad tecnológica nacional,2020/09/21,contador público ,,alto nuestra señora del valle,-1
52,jason roberts,m,,david84@hotmail.com,1931/03/18,universidad tecnológica nacional,2020/09/24,diseño industrial,,arroyo pareja,-1
53,brandon martin,m,,michellesherman@yahoo.com,1925/11/07,universidad nacional de jujuy,2020/10/20,licenciatura en producción de bioimagenes,,aldea apeleg,-1
54,richard perez,m,,christopherball@yahoo.com,2010/07/29,universidad nacional de jujuy,2020/11/09,arquitectura,,cespedes,-1
55,james padilla,m,,marshallbrian@gmail.com,1981/08/05,universidad nacional de jujuy,2020/10/09,licenciatura en ciencias geológicas,,campo crisol,-1
56,marie schwartz,f,,mosleydavid@hotmail.com,1965/10/21,universidad tecnológica nacional,2020/09/23,licenciatura en ciencias de la educación ,,apeadero quiroga,-1
57,caroline humphrey,f,,gsnyder@hotmail.com,2016/01/18,universidad nacional de jujuy,2020/09/07,licenciatura en musicoterapia,,agua de castilla,-1
58,julie curtis,f,,ellisanthony@gmail.com,1945/04/20,universidad tecnológica nacional,2020/12/24,licenciatura en relaciones del trabajo ,,alianza,-1
59,jamie taylor,f,,daviseddie@yahoo.com,1965/03/18,universidad nacional de jujuy,2020/12/07,licenciatura en ciencias de la educación ,,alejandra,-1
60,chelsea whitaker,f,,nicolegolden@hotmail.com,2005/02/19,universidad tecnológica nacional,2020/12/24,arquitectura,,cañadon chileno,-1
61,christopher obrien,m,,dawncole@gmail.com,1998/10/11,universidad nacional de jujuy,2020/10/12,técnico para bioterios ,,cañada del ucle,-1
62,julie herrera,f,,martincharles@hotmail.com,2004/11/06,universidad tecnológica nacional,2020/12/08,licenciatura en producción de bioimagenes,,empalme san carlos,-1
63,anthony ruiz,m,,kellysamuel@gmail.com,2004/12/07,universidad nacional de jujuy,2020/10/29,bioquímica,,la chirlandia,-1
64,sharon day,f,,gardnertimothy@gmail.com,1969/06/25,universidad nacional de jujuy,2020/11/10,ingeniería electrónica,,encina,-1
65,ryan bowen,m,,tyrone84@hotmail.com,1980/03/19,universidad tecnológica nacional,2020/09/02,licenciatura en sociología ,,barrio carosio,-1
66,mark hernandez,m,,pattersonstephanie@yahoo.com,1953/09/22,universidad tecnológica nacional,2021/01/07,licenciatura en producción de bioimagenes,,nonogasta,-1
67,jessica richardson,f,,hansondavid@gmail.com,1971/04/03,universidad tecnológica nacional,2020/09/06,licenciatura en planificación y diseño del paisaje,,bajo de las palomas,-1
