;inscription_dates;university;carrera;first_name;last_name;gender;age;postal_code;location;email
0;21/Jan/08;-universidad-abierta-interamericana;Licenciatura-en-kinesiología-y-fisiatría;;Randy-williams;M;;;Juan-maria-gutierrez;Joshua07@yahoo.com
1;20/Oct/04;-universidad-abierta-interamericana;Licenciatura-en-ciencias-ambientales;;Nichole-stanley;F;;;El-rincon;Dbutler@yahoo.com
2;20/Oct/13;-universidad-abierta-interamericana;Licenciatura-en-ciencias-de-la-educación-;;Christine-davis;F;;;Agua-verde;Marvin72@yahoo.com
3;20/Nov/22;-universidad-abierta-interamericana;Licenciatura-en-ciencias-antropológicas;;Kevin-weaver;M;;;Capitan-lazo;Millererika@hotmail.com
4;21/Jan/30;-universidad-abierta-interamericana;Licenciatura-en-psicología;;David-oliver;M;;;Llavallol;Jorge05@yahoo.com
5;20/Oct/12;-universidad-abierta-interamericana;Licenciatura-en-artes;;Alyssa-callahan;F;;;Albigasta;Jodi34@yahoo.com
6;20/Nov/13;-universidad-abierta-interamericana;Licenciatura-en-producción-de-bioimagenes;;Tracy-pope;F;;;La-viticola;Jamesgentry@hotmail.com
7;21/Jan/26;-universidad-abierta-interamericana;Bioquímica;;Shawn-fleming;M;;;Cantera-aguirre;Betty11@hotmail.com
8;20/Sep/21;-universidad-abierta-interamericana;Licenciatura-en-ciencias-antropológicas;;Brenda-santana;F;;;25-de-mayo;James37@hotmail.com
9;21/Jan/21;-universidad-abierta-interamericana;Licenciatura-en-producción-de-bioimagenes;;Tyrone-roberts;M;;;Barra-bonita;Millerrandall@gmail.com
10;20/Dec/20;-universidad-abierta-interamericana;Farmacia;;Brandon-carter;M;;;Alcorta;Reedaustin@yahoo.com
11;20/Nov/13;-universidad-abierta-interamericana;Licenciatura-en-kinesiología-y-fisiatría;;Henry-edwards;M;;;El-sombrerito;Garyball@gmail.com
12;20/Sep/17;-universidad-abierta-interamericana;Diseño-de-imagen-y-sonido;;Donna-sparks;F;;;Alto-del-puesto;Hrodriguez@yahoo.com
13;20/Sep/12;-universidad-abierta-interamericana;Licenciatura-en-psicología;;Brandy-gibson;F;;;Balsa;Erinjackson@yahoo.com
14;21/Jan/04;-universidad-abierta-interamericana;Licenciatura-en-gestión-de-agroalimentos;;Robert-price;M;;;Cramer;Sheparddiane@hotmail.com
